code,validcode,description
B393,1,Disseminated histoplasmosis capsulati
B394,1,"Histoplasmosis capsulati, unspecified"
B395,1,Histoplasmosis duboisii
B399,1,"Histoplasmosis, unspecified"
B40,0,Blastomycosis
B400,1,Acute pulmonary blastomycosis
B401,1,Chronic pulmonary blastomycosis
B402,1,"Pulmonary blastomycosis, unspecified"
B403,1,Cutaneous blastomycosis
B407,1,Disseminated blastomycosis
B408,1,Other forms of blastomycosis
B409,1,"Blastomycosis, unspecified"
B41,0,Paracoccidioidomycosis
B410,1,Pulmonary paracoccidioidomycosis
B417,1,Disseminated paracoccidioidomycosis
B418,1,Other forms of paracoccidioidomycosis
B419,1,"Paracoccidioidomycosis, unspecified"
B42,0,Sporotrichosis
B420,1,Pulmonary sporotrichosis (J99.8*)
B421,1,Lymphocutaneous sporotrichosis
B427,1,Disseminated sporotrichosis
B428,1,Other forms of sporotrichosis
B429,1,"Sporotrichosis, unspecified"
