code,mdc,pdc,cc,maincc,ccrow,hiv_ax,trauma,sex,accpdx,ageduse,agemin,agemax,agedmin
J958,04,4Q,0,,0,,N,B,Y,N,0,124,0
M2160,08,8R,0,,0,,N,B,Y,N,0,124,0
M4133,08,8H,0,,0,,N,B,Y,N,0,124,0
I864,06,6J,0,,0,,N,B,Y,N,0,124,0
Q361,03,3H,0,,0,,N,B,Y,N,0,124,0
M0202,08,8J,0,,0,,N,B,Y,N,0,124,0
D384,04,4M,0,,0,,N,B,Y,N,0,124,0
M2150,01,1J,0,,0,,N,B,Y,N,0,124,0
H046,02,2D,0,,0,,N,B,Y,N,0,124,0
Q378,03,3H,0,,0,,N,B,Y,N,0,124,0
A065,04,4C,0,,0,,N,B,Y,N,0,124,0
Q380,03,3H,0,,0,,N,B,Y,N,0,124,0
D449,10,10E,0,,0,,N,B,Y,N,0,124,0
M8329,08,8J,0,,0,,N,B,Y,N,16,124,0
N075,11,11H,0,,0,,N,B,Y,N,0,124,0
Q3830,03,3H,0,,0,,N,B,Y,N,0,124,0
Q3831,03,3H,0,,0,,N,B,Y,N,0,124,0
Q983,12,12E,0,,0,,N,B,Y,N,0,124,0
Q3834,03,3H,0,,0,,N,B,Y,N,0,124,0
D429,01,1C,0,,0,,N,B,Y,N,0,124,0
H020,02,2D,0,,0,,N,B,Y,N,0,124,0
C0629,03,3A,0,,0,,N,B,Y,N,0,124,0
A38,18,18H,0,,0,,N,B,Y,N,0,124,0
T001,09,9H,0,,0,,0,B,Y,N,0,124,0
Q3848,03,3H,0,,0,,N,B,Y,N,0,124,0
Q3849,03,3H,0,,0,,N,B,Y,N,0,124,0
Q385,03,3H,0,,0,,N,B,Y,N,0,124,0
Q3850,03,3H,0,,0,,N,B,Y,N,0,124,0
K021,03,3H,0,,0,,N,B,Y,Y,0,124,28
M075,08,8J,0,,0,,N,B,N,N,0,124,0
Z372,30,,0,,0,,N,F,N,N,9,60,0
S42418,08,8Q,0,,0,,7,B,Y,N,0,124,0
Q3869,03,3H,0,,0,,N,B,Y,N,0,124,0
T142,08,8R,0,,0,,0,B,Y,N,0,124,0
K0764,03,3H,0,,0,,N,B,Y,Y,0,124,28
O719,14,14A,0,,0,,N,F,Y,N,9,60,0
T789,21,21C,0,,0,,N,B,Y,N,0,124,0
M4838,08,8H,0,,0,,N,B,Y,N,0,124,0
B9688,30,,0,,0,,N,B,N,N,0,124,0
M2189,08,8R,0,,0,,N,B,Y,N,0,124,0
S448,01,1J,0,,0,,0,B,Y,N,0,124,0
Z573,23,23D,0,,0,,N,B,Y,N,0,124,0
Q398,06,6J,0,,0,,N,B,Y,N,0,124,0
Q399,06,6J,0,,0,,N,B,Y,N,0,124,0
Q400,06,6J,0,,0,,N,B,Y,N,0,124,0
D483,06,6A,0,,0,,N,B,Y,N,0,124,0
Z245,23,23D,0,,0,,N,B,Y,N,0,124,0
S7303,08,8C,0,,0,,0,B,Y,N,0,124,0
Q408,06,6J,0,,0,,N,B,Y,N,0,124,0
E894,13,13F,0,,0,,N,F,Y,N,0,124,0
B362,09,9D,0,,0,,N,B,Y,N,0,124,0
F69,19,19H,0,,0,,N,B,Y,N,0,124,0
M8781,08,8J,0,,0,,N,B,Y,N,0,124,0
N743,13,13E,0,,0,,N,F,N,N,0,124,0
O801,14,14A,0,,0,,N,F,Y,N,9,60,0
M7252,08,8M,0,,0,,N,B,Y,N,0,124,0
S709,09,9H,0,,0,,0,B,Y,N,0,124,0
M0581,08,8F,0,,0,,N,B,Y,N,16,124,0
Q626,11,11H,0,,0,,N,B,Y,N,0,124,0
D1032,03,3H,0,,0,,N,B,Y,N,0,124,0
Q422,06,6J,0,,0,,N,B,Y,N,0,124,0
M2582,08,8L,0,,0,,N,B,Y,N,0,124,0
Q429,06,6J,0,,0,,N,B,Y,N,0,124,0
Q430,06,6C,0,,0,,N,B,Y,N,0,124,0
M6511,08,8M,0,,0,,N,B,Y,N,0,124,0
Q432,06,6J,0,,0,,N,B,Y,N,0,124,0
Q899,15,,0,,0,,N,B,Y,N,0,124,0
H251,02,2D,0,,0,,N,B,Y,N,31,124,0
C696,02,2E,0,,0,,N,B,Y,N,0,124,0
L906,09,9D,0,,0,,N,B,Y,N,0,124,0
A221,04,4C,0,,0,,N,B,Y,N,0,124,0
T288,13,13F,0,,0,,N,B,Y,N,0,124,0
Z9663,30,,0,,0,,N,B,N,N,0,124,0
A924,18,18F,0,,0,,N,B,Y,N,0,124,0
Q444,07,7D,0,,0,,N,B,Y,N,0,124,0
N063,11,11K,0,,0,,N,B,Y,N,0,124,0
D482,08,8R,0,,0,,N,B,Y,N,0,124,0
Q447,07,7D,0,,0,,N,B,Y,N,0,124,0
S72404,08,8A,0,,0,,8,B,Y,N,0,124,0
H652,03,3D,0,,0,,N,B,Y,N,0,124,0
N351,11,11G,0,,0,,N,B,Y,N,0,124,0
D385,04,4M,0,,0,,N,B,Y,N,0,124,0
P032,15,,0,,0,,N,B,Y,N,0,0,0
I879,05,5G,0,,0,,N,B,Y,N,0,124,0
Q453,07,7C,0,,0,,N,B,Y,N,0,124,0
A012,18,18H,0,,0,,N,B,Y,N,0,124,0
H473,02,2B,0,,0,,N,B,Y,N,0,124,0
H918,03,3G,0,,0,,N,B,Y,N,0,124,0
Z730,23,23D,0,,0,,N,B,Y,N,0,124,0
S82211,08,8Q,0,,0,,8,B,Y,N,0,124,0
Q645,11,11H,0,,0,,N,B,Y,N,0,124,0
A790,18,18H,0,,0,,N,B,Y,N,0,124,0
P593,15,,0,,0,,N,B,Y,N,0,0,0
E881,10,10D,0,,0,,N,B,Y,N,0,124,0
M4685,08,8H,0,,0,,N,B,Y,N,0,124,0
M622,08,8M,0,,0,,N,B,Y,N,0,124,0
M2533,08,8R,0,,0,,N,B,Y,N,0,124,0
A671,09,9D,0,,0,,N,B,Y,N,0,124,0
O369,14,14B,0,,0,,N,F,Y,N,9,60,0
T479,21,21C,0,,0,,N,B,Y,N,0,124,0
E852,08,8S,0,,0,,N,B,Y,N,0,124,0
Q522,13,13F,0,,0,,N,F,Y,N,0,124,0
Q523,13,13F,0,,0,,N,F,Y,N,0,124,0
T223,22,22B,0,,0,,N,B,Y,N,0,124,0
M7930,09,9C,0,,0,,N,B,Y,N,0,124,0
Q529,13,13F,0,,0,,N,F,Y,N,0,124,0
Q530,12,12E,0,,0,,N,B,Y,N,0,124,0
L239,09,9D,0,,0,,N,B,Y,N,0,124,0
M9033,08,8J,0,,0,,N,B,N,N,0,124,0
G575,01,1J,0,,0,,N,B,Y,N,0,124,0
F681,19,19H,0,,0,,N,B,Y,N,0,124,0
M1915,08,8J,0,,0,,N,B,Y,N,0,124,0
G312,01,1D,0,,0,,N,B,Y,N,1,124,0
R601,23,23B,0,,0,,N,B,Y,N,0,124,0
M8184,08,8J,0,,0,,N,B,Y,N,0,124,0
Q550,12,12E,0,,0,,N,M,Y,N,0,124,0
M2186,08,8R,0,,0,,N,B,Y,N,0,124,0
Z764,23,23D,0,,0,,N,B,Y,N,0,124,0
Q164,03,3G,0,,0,,N,B,Y,N,0,124,0
N842,13,13F,0,,0,,N,F,Y,N,0,124,0
L80,09,9D,0,,0,,N,B,Y,N,0,124,0
M7240,08,8M,0,,0,,N,B,Y,N,0,124,0
H102,02,2D,0,,0,,N,B,Y,N,0,124,0
Q802,09,9B,0,,0,,N,B,Y,N,0,124,0
H341,02,2B,0,,0,,N,B,Y,N,0,124,0
O849,14,14A,0,,0,,N,F,Y,N,9,60,0
R456,19,19L,0,,0,,N,B,Y,N,0,124,0
N362,11,11H,0,,0,,N,B,Y,N,0,124,0
M4202,08,8J,0,,0,,N,B,Y,N,0,124,0
S011,02,2C,0,,0,,0,B,Y,N,0,124,0
G571,01,1J,0,,0,,N,B,Y,N,0,124,0
M1200,08,8J,0,,0,,N,B,Y,N,0,124,0
M8308,08,8J,0,,0,,N,F,Y,N,9,60,0
Q606,11,11H,0,,0,,N,B,Y,N,0,124,0
Z566,23,23D,0,,0,,N,B,Y,N,0,124,0
G603,01,1J,0,,0,,N,B,Y,N,0,124,0
M7219,08,8M,0,,0,,N,B,Y,N,0,124,0
M6121,08,8M,0,,0,,N,B,Y,N,0,124,0
Q964,13,13F,0,,0,,N,B,Y,N,0,124,0
C445,09,9B,0,,0,C,N,B,Y,N,0,124,0
T702,21,21E,0,,0,,N,B,Y,N,0,124,0
F320,19,19C,0,,0,,N,B,Y,N,0,124,0
M4139,08,8H,0,,0,,N,B,Y,N,0,124,0
M7319,08,8M,0,,0,,N,B,N,N,0,124,0
J338,03,3G,0,,0,,N,B,Y,N,0,124,0
E032,10,10E,0,,0,,N,B,Y,N,0,124,0
M920,08,8J,0,,0,,N,B,Y,N,0,124,0
E072,10,10E,0,,0,,N,B,Y,N,0,124,0
Q627,11,11H,0,,0,,N,B,Y,N,0,124,0
O122,14,14B,0,,0,,N,F,Y,N,9,60,0
A689,18,18H,0,,0,,N,B,Y,N,0,124,0
Q631,11,11H,0,,0,,N,B,Y,N,0,124,0
M2509,08,8J,0,,0,,N,B,Y,N,0,124,0
S717,21,21A,0,,0,,0,B,Y,N,0,124,0
Q931,23,23D,0,,0,,N,B,Y,N,0,124,0
Q640,12,12E,0,,0,,N,B,Y,N,0,124,0
O280,14,14E,0,,0,,N,F,Y,N,9,60,0
H262,02,2D,0,,0,,N,B,Y,N,0,124,0
S82104,08,8Q,0,,0,,0,B,Y,N,0,124,0
Q646,11,11H,0,,0,,N,B,Y,N,0,124,0
S421,08,8Q,0,,0,,0,B,Y,N,0,124,0
M4785,08,8H,0,,0,,N,B,Y,N,0,124,0
T175,04,4Q,0,,0,,N,B,Y,N,0,124,0
Z912,30,,0,,0,,N,B,N,N,0,124,0
R170,07,7D,0,,0,,N,B,Y,N,0,124,0
